pid	ppid	status_name	stat_comm	user	kthread	state	policy	priority	nice	threads	rss_kb	vsz_kb	pss_kb	socket_count	fd_devices	exe	cmdline	cgroup
1	0	init		root	0		TS	38	-19	1	26184	46740		137	/sys/fs/selinux/status;/dev/kmsg;/sys/fs/cgroup;/dev/watchdog0;/sys/fs/cgroup/init.scope/memory.pressure;/dev/autofs;/dev/kiumd;/dev/input/event1;/dev/input/event0;/dev/input/event2	/sbin/init	/sbin/init	
2	0	kthreadd	kthreadd	root	1		TS	19	0	1	0	0						
3	2	pool_workqueue_release	pool_workqueue_release	root	1		TS	19	0	1	0	0						
4	2	kworker/R-rcu_g	kworker/R-rcu_g	root	1		TS	39	-20	1	0	0						
5	2	kworker/R-rcu_p	kworker/R-rcu_p	root	1		TS	39	-20	1	0	0						
6	2	kworker/R-slub_	kworker/R-slub_	root	1		TS	39	-20	1	0	0						
7	2	kworker/R-netns	kworker/R-netns	root	1		TS	39	-20	1	0	0						
9	2	kworker/0:0H-events_highpri	kworker/0:0H-events_highpri	root	1		TS	39	-20	1	0	0						
12	2	kworker/R-mm_pe	kworker/R-mm_pe	root	1		TS	39	-20	1	0	0						
13	2	rcu_tasks_kthread	rcu_tasks_kthread	root	1		TS	19	0	1	0	0						
14	2	rcu_tasks_rude_kthread	rcu_tasks_rude_kthread	root	1		TS	19	0	1	0	0						
15	2	rcu_tasks_trace_kthread	rcu_tasks_trace_kthread	root	1		TS	19	0	1	0	0						
16	2	ksoftirqd/0	ksoftirqd/0	root	1		TS	19	0	1	0	0						
17	2	ktimers/0	ktimers/0	root	1		FF	41	-	1	0	0						
18	2	rcu_preempt	rcu_preempt	root	1		FF	41	-	1	0	0						
19	2	rcuog/0	rcuog/0	root	1		FF	41	-	1	0	0						
20	2	rcuop/0	rcuop/0	root	1		FF	41	-	1	0	0						
21	2	rcub/1	rcub/1	root	1		FF	41	-	1	0	0						
22	2	rcuc/0	rcuc/0	root	1		FF	41	-	1	0	0						
23	2	migration/0	migration/0	root	1		FF	139	-	1	0	0						
24	2	irq_work/0	irq_work/0	root	1		FF	41	-	1	0	0						
25	2	idle_inject/0	idle_inject/0	root	1		FF	90	-	1	0	0						
26	2	cpuhp/0	cpuhp/0	root	1		TS	19	0	1	0	0						
27	2	cpuhp/1	cpuhp/1	root	1		TS	19	0	1	0	0						
28	2	idle_inject/1	idle_inject/1	root	1		FF	90	-	1	0	0						
29	2	irq_work/1	irq_work/1	root	1		FF	41	-	1	0	0						
